intent,response_kind,response_id,function_call_name,model,created_at,completed_at,reasoning_effort,reasoning_generate_summary,reasoning_summary,usage_input_tokens,usage_input_tokens_cached,usage_output_tokens,usage_output_tokens_reasoning,usage_total_tokens,policy_status
"Create a slice for a harbor area supporting logistics staff tablets, allowing 150 devices with downstream rates of 70 Mbps.",intent_processing,resp_05acdaa3867988e200697068a4e14481938c0c58f36121a020,create_session,gpt-5-2025-08-07,2026-01-21 05:48:20,2026-01-21 05:48:31,medium,,,7934,3840,526,448,8460,Policy created successfully
"Create a slice for a harbor area supporting logistics staff tablets, allowing 150 devices with downstream rates of 70 Mbps.",type_definition,resp_0d12fa960388e7fe00697068aff8148193b6fe216994a03801,,gpt-5-2025-08-07,2026-01-21 05:48:32,2026-01-21 05:48:38,medium,,,259,0,265,256,524,Policy created successfully
"Create a slice for a mobile esports tournament, requiring downstream rates of 250 Mbps per device and packet delay budget of 12 ms.",intent_processing,resp_0b8539556b89149d0069706c4e8a1c819380b3d371ec53c007,create_session,gpt-5-2025-08-07,2026-01-21 06:03:58,2026-01-21 06:04:08,medium,,,32552,14848,539,448,33091,Policy created successfully
"Create a slice for a mobile esports tournament, requiring downstream rates of 250 Mbps per device and packet delay budget of 12 ms.",type_definition,resp_0aff91df2c19490a0069706c5935d08196910d35e11f098448,,gpt-5-2025-08-07,2026-01-21 06:04:09,2026-01-21 06:04:12,medium,,,262,0,137,128,399,Policy created successfully
"Create a slice for a retail analytics platform using video feeds, requiring 150 Mbps downstream and latency below 20 ms.",intent_processing,resp_08561c0ecf355a2c00697069024dfc81939e5b8902c18d32d3,create_session,gpt-5-2025-08-07,2026-01-21 05:49:54,2026-01-21 05:50:06,medium,,,10015,4608,731,640,10746,Policy created successfully
"Create a slice for a retail analytics platform using video feeds, requiring 150 Mbps downstream and latency below 20 ms.",type_definition,resp_04b9db7701603f82006970690f5fc4819592c19d72aef4e777,,gpt-5-2025-08-07,2026-01-21 05:50:07,2026-01-21 05:50:11,medium,,,259,0,137,128,396,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",intent_processing,resp_0cfe1a0a3777b3a0006970680200ec81958f705b250a8e9811,create_session,gpt-5-2025-08-07,2026-01-21 05:45:38,2026-01-21 05:45:48,medium,,,3680,1792,667,576,4347,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",type_definition,resp_0c80d782b4c491ad006970680c89f4819394d4841c270ba724,,gpt-5-2025-08-07,2026-01-21 05:45:48,2026-01-21 05:45:53,medium,,,266,0,201,192,467,Policy created successfully
"Create a slice for automated toll gate controls, allowing 450 devices with latency capped at 6 ms.",intent_processing,resp_0541510492e9e6d10069706e0f6c0c81908ac2278d1862cce3,create_session,gpt-5-2025-08-07,2026-01-21 06:11:27,2026-01-21 06:11:35,medium,,,44493,21248,468,384,44961,Policy created successfully
"Create a slice for automated toll gate controls, allowing 450 devices with latency capped at 6 ms.",type_definition,resp_06469267718333130069706e1852508196954c2704e1c3ac42,,gpt-5-2025-08-07,2026-01-21 06:11:36,2026-01-21 06:11:39,medium,,,256,0,137,128,393,Policy created successfully
