intent,response_kind,response_id,function_call_name,model,created_at,completed_at,reasoning_effort,reasoning_generate_summary,reasoning_summary,usage_input_tokens,usage_input_tokens_cached,usage_output_tokens,usage_output_tokens_reasoning,usage_total_tokens,policy_status,data_source
"Create a slice for a harbor area supporting logistics staff tablets, allowing 150 devices with downstream rates of 70 Mbps.",intent_processing,resp_03847a3693ddf8ed006975a3608e5c8195a09558fbeb5431da,create_session,gpt-5-nano-2025-08-07,2026-01-25 05:00:16,2026-01-25 05:00:25,medium,,,7569,3840,1043,960,8612,,openai-gpt-5-nano.csv
"Create a slice for a mobile esports tournament, requiring downstream rates of 250 Mbps per device and packet delay budget of 12 ms.",intent_processing,resp_095945663ec18bab006975ab8e90108196a47aba8ba82523d0,create_session,gpt-5-nano-2025-08-07,2026-01-25 05:35:11,2026-01-25 05:35:18,medium,,,31347,15488,981,896,32328,Policy created successfully,openai-gpt-5-nano.csv
"Create a slice for a mobile esports tournament, requiring downstream rates of 250 Mbps per device and packet delay budget of 12 ms.",type_definition,resp_05539d49cca16e94006975ab96bf6c8193b7ed909e353c6397,,gpt-5-nano-2025-08-07,2026-01-25 05:35:18,2026-01-25 05:35:22,medium,,,262,0,521,512,783,Policy created successfully,openai-gpt-5-nano.csv
"Create a slice for a retail analytics platform using video feeds, requiring 150 Mbps downstream and latency below 20 ms.",intent_processing,resp_0bacf8c4e0ef0a52006975a40b8da0819783e96143ee74dc21,create_session,gpt-5-nano-2025-08-07,2026-01-25 05:03:07,2026-01-25 05:03:13,medium,,,9445,4864,661,576,10106,Policy created successfully,openai-gpt-5-nano.csv
"Create a slice for a retail analytics platform using video feeds, requiring 150 Mbps downstream and latency below 20 ms.",type_definition,resp_026367a54522a090006975a4121ad08190ba1303bf1b1762fa,,gpt-5-nano-2025-08-07,2026-01-25 05:03:14,2026-01-25 05:03:16,medium,,,259,0,201,192,460,Policy created successfully,openai-gpt-5-nano.csv
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",intent_processing,resp_051d6268366575d1006975a1fcd6a8819396bdc8b11ad5f210,create_session,gpt-5-nano-2025-08-07,2026-01-25 04:54:20,2026-01-25 04:54:33,medium,,,3395,1024,1109,1024,4504,Policy created successfully,openai-gpt-5-nano.csv
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",type_definition,resp_058520bc448761de006975a209eac481908bcf3930a6111591,,gpt-5-nano-2025-08-07,2026-01-25 04:54:33,2026-01-25 04:54:39,medium,,,266,0,265,256,531,Policy created successfully,openai-gpt-5-nano.csv
"Create a slice for automated toll gate controls, allowing 450 devices with latency capped at 6 ms.",intent_processing,resp_0bf1274eb9049653006975afb6b7fc8197bc8ed8d795cc0134,create_session,gpt-5-nano-2025-08-07,2026-01-25 05:52:54,2026-01-25 05:53:06,medium,,,43195,20480,1294,1216,44489,Policy created successfully,openai-gpt-5-nano.csv
"Create a slice for automated toll gate controls, allowing 450 devices with latency capped at 6 ms.",type_definition,resp_0431ecdfe16881fe006975afc28f588197a092ca4abd7cf6a4,,gpt-5-nano-2025-08-07,2026-01-25 05:53:06,2026-01-25 05:53:09,medium,,,256,0,393,384,649,Policy created successfully,openai-gpt-5-nano.csv
"Create a slice for autonomous bus control systems, allowing 80 devices with latency below 5 ms and uplink rates of 30 Mbps.",intent_processing,resp_08cd95ee2ad54c2a006975a5e300688194b097dfa64612bdb3,create_session,gpt-5-nano-2025-08-07,2026-01-25 05:10:59,2026-01-25 05:11:17,medium,,,15175,7040,1749,1664,16924,Policy created successfully,openai-gpt-5-nano.csv
