intent,response_kind,response_id,function_call_name,create_time,model_version,candidates_token_count,prompt_token_count,thoughts_token_count,total_token_count,policy_status
"Create a slice to support video journalists transmitting live footage from a downtown area, allowing up to 40 devices with downstream rates of 120 Mbps per device and a packet delay budget of 15 ms to keep streams smooth.",intent_processing,b-x2aYDDEYm5qtsPtMDZ2AY,create_session,None,gemini-3-pro-preview,92,1538,2288,3918,Policy created successfully
"Create a slice to support video journalists transmitting live footage from a downtown area, allowing up to 40 devices with downstream rates of 120 Mbps per device and a packet delay budget of 15 ms to keep streams smooth.",type_definition,dux2afRmmqqq2w-Z7bvYBg,,None,gemini-3-pro-preview,3,282,444,729,Policy created successfully
"Provision a slice for a university campus event where attendees will upload and stream media, targeting uplink rates of 50 Mbps per device and downstream rates of 100 Mbps with latency capped at 20 ms.",intent_processing,rOx2adDuIpqkmtkPkcGl6Q0,create_session,None,gemini-3-pro-preview,192,1834,2138,4164,Policy created successfully
"Provision a slice for a university campus event where attendees will upload and stream media, targeting uplink rates of 50 Mbps per device and downstream rates of 100 Mbps with latency capped at 20 ms.",type_definition,sux2acG1K6KeqtsPl9z1gAc,,None,gemini-3-pro-preview,3,278,423,704,Policy created successfully
"Set up a slice for a shopping mall to improve customer mobile experience, supporting 300 devices with downstream speeds of 80 Mbps per device and a packet delay budget of 25 ms.",intent_processing,6Ox2ae-3DaetqtsP3-fk-A0,create_session,None,gemini-3-pro-preview,266,2127,1862,4255,Policy created successfully
"Set up a slice for a shopping mall to improve customer mobile experience, supporting 300 devices with downstream speeds of 80 Mbps per device and a packet delay budget of 25 ms.",type_definition,7ex2ad_pN46tqtsPjZLG4Q0,,None,gemini-3-pro-preview,3,275,379,657,Policy created successfully
"Deploy a slice for a media production crew using AR headsets, requiring downstream throughput of 300 Mbps per device and latency not exceeding 10 ms.",intent_processing,Nu12afyDNb7kqtsPnoKbgA4,create_session,None,gemini-3-pro-preview,339,2411,2368,5118,Policy created successfully
"Deploy a slice for a media production crew using AR headsets, requiring downstream throughput of 300 Mbps per device and latency not exceeding 10 ms.",type_definition,Pe12aZLMCKvxqtsP4Njs4A0,,None,gemini-3-pro-preview,3,266,408,677,Policy created successfully
"Establish a slice for commuters in a busy train station, optimized for high-capacity browsing with support for 500 devices and downstream rates of 60 Mbps per device.",intent_processing,ee12aZfAGYbhz7IPybX6-AU,create_session,None,gemini-3-pro-preview,449,2699,2484,5632,Policy created successfully
"Establish a slice for commuters in a busy train station, optimized for high-capacity browsing with support for 500 devices and downstream rates of 60 Mbps per device.",type_definition,f-12af3xCKDUz7IPg9bs8AQ,,None,gemini-3-pro-preview,3,270,350,623,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",intent_processing,vu12aZr3Hda7qtsPyJbUiA0,create_session,None,gemini-3-pro-preview,513,2984,2541,6038,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",type_definition,xO12aYrDHreaqtsP5fS38Q0,,None,gemini-3-pro-preview,3,267,382,652,Policy created successfully
"Provision a slice for an outdoor music festival where attendees share video clips, allowing up to 800 devices with uplink rates of 40 Mbps per device.",intent_processing,BO52afvkOLKUmtkP48He8QY,create_session,None,gemini-3-pro-preview,649,3269,2756,6674,Policy created successfully
"Provision a slice for an outdoor music festival where attendees share video clips, allowing up to 800 devices with uplink rates of 40 Mbps per device.",type_definition,C-52afuHC-K3qtsPgtKJuQ4,,None,gemini-3-pro-preview,3,267,423,693,Policy created successfully
"Design a slice for a business district to support cloud-based applications, targeting 100 Mbps downstream per device and latency around 20 ms.",intent_processing,Uu52aYfYAvmomtkPjcGA2AY,create_session,None,gemini-3-pro-preview,660,3552,3601,7813,Policy created successfully
"Design a slice for a business district to support cloud-based applications, targeting 100 Mbps downstream per device and latency around 20 ms.",type_definition,WO52afKGLefAqtsPuaW2wQ0,,None,gemini-3-pro-preview,2,265,386,653,Policy created successfully
