intent,response_kind,message_id,model,tool_use_names,usage_cache_creation,usage_cache_creation_input_tokens,usage_cache_read_input_tokens,usage_input_tokens,usage_output_tokens,usage_server_tool_use,usage_service_tier,policy_status
"Create a slice to support video journalists transmitting live footage from a downtown area, allowing up to 40 devices with downstream rates of 120 Mbps per device and a packet delay budget of 15 ms to keep streams smooth.",intent_processing,msg_014himmC3npm3AnjZad7cMVn,claude-opus-4-5-20251101,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,7220,178,,standard,Policy created successfully
"Create a slice to support video journalists transmitting live footage from a downtown area, allowing up to 40 devices with downstream rates of 120 Mbps per device and a packet delay budget of 15 ms to keep streams smooth.",type_definition,msg_0183QmqHWMwJekhVeEupD4di,claude-opus-4-5-20251101,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,310,7,,standard,Policy created successfully
"Provision a slice for a university campus event where attendees will upload and stream media, targeting uplink rates of 50 Mbps per device and downstream rates of 100 Mbps with latency capped at 20 ms.",intent_processing,msg_01K6y5vNoDvzPfmE4YaHzjBH,claude-opus-4-5-20251101,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,8016,198,,standard,Policy created successfully
"Provision a slice for a university campus event where attendees will upload and stream media, targeting uplink rates of 50 Mbps per device and downstream rates of 100 Mbps with latency capped at 20 ms.",type_definition,msg_017MGY8c9pVY2bygVoHbMSHd,claude-opus-4-5-20251101,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,312,7,,standard,Policy created successfully
"Set up a slice for a shopping mall to improve customer mobile experience, supporting 300 devices with downstream speeds of 80 Mbps per device and a packet delay budget of 25 ms.",intent_processing,msg_01Q4zFumx7k3RuX7Xvv3TTmv,claude-opus-4-5-20251101,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,8869,171,,standard,Policy created successfully
"Set up a slice for a shopping mall to improve customer mobile experience, supporting 300 devices with downstream speeds of 80 Mbps per device and a packet delay budget of 25 ms.",type_definition,msg_01P11TsDPrCUPi2X9GsSPrUs,claude-opus-4-5-20251101,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,302,7,,standard,Policy created successfully
"Deploy a slice for a media production crew using AR headsets, requiring downstream throughput of 300 Mbps per device and latency not exceeding 10 ms.",intent_processing,msg_0162rDa6zJ1WWPkoAzejNPxH,claude-opus-4-5-20251101,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,9643,179,,standard,Policy created successfully
"Deploy a slice for a media production crew using AR headsets, requiring downstream throughput of 300 Mbps per device and latency not exceeding 10 ms.",type_definition,msg_01NtqsDMRD8Qu3QyozxCe1GM,claude-opus-4-5-20251101,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,297,7,,standard,Policy created successfully
"Establish a slice for commuters in a busy train station, optimized for high-capacity browsing with support for 500 devices and downstream rates of 60 Mbps per device.",intent_processing,msg_01V4WLiSsqM3Ys1g6jfJiGfR,claude-opus-4-5-20251101,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,10427,163,,standard,Policy created successfully
"Establish a slice for commuters in a busy train station, optimized for high-capacity browsing with support for 500 devices and downstream rates of 60 Mbps per device.",type_definition,msg_01Liidg9JQhmfNPeX9iHQUM4,claude-opus-4-5-20251101,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,301,7,,standard,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",intent_processing,msg_01GvAqR9QF7jpjWfndUQ1nb6,claude-opus-4-5-20251101,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,11168,177,,standard,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",type_definition,msg_01Ps9A2UrjDWjKTkXKkSD7TH,claude-opus-4-5-20251101,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,295,7,,standard,Policy created successfully
