intent,column,message_id,model,tool_use_names,usage_cache_creation,usage_cache_creation_input_tokens,usage_cache_read_input_tokens,usage_input_tokens,usage_output_tokens,usage_server_tool_use,usage_service_tier,policy_status
"Create a slice to support video journalists transmitting live footage from a downtown area, allowing up to 40 devices with downstream rates of 120 Mbps per device and a packet delay budget of 15 ms to keep streams smooth.",intent_processing,msg_01EaXvCSuofRCrzS6hZiziVF,claude-sonnet-4-5-20250929,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,2463,205,,standard,Policy created successfully
"Create a slice to support video journalists transmitting live footage from a downtown area, allowing up to 40 devices with downstream rates of 120 Mbps per device and a packet delay budget of 15 ms to keep streams smooth.",type_definition,msg_01YZfmYG4eiPxAGuEGULeNyQ,claude-sonnet-4-5-20250929,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,310,7,,standard,Policy created successfully
"Provision a slice for a university campus event where attendees will upload and stream media, targeting uplink rates of 50 Mbps per device and downstream rates of 100 Mbps with latency capped at 20 ms.",intent_processing,msg_01Td8gmQSxWHV7VYp6MXSZ4Q,claude-sonnet-4-5-20250929,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,3253,196,,standard,Policy created successfully
"Provision a slice for a university campus event where attendees will upload and stream media, targeting uplink rates of 50 Mbps per device and downstream rates of 100 Mbps with latency capped at 20 ms.",type_definition,msg_01VeSGgfocPVxvsDuxD7vrYV,claude-sonnet-4-5-20250929,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,312,7,,standard,Policy created successfully
"Set up a slice for a shopping mall to improve customer mobile experience, supporting 300 devices with downstream speeds of 80 Mbps per device and a packet delay budget of 25 ms.",intent_processing,msg_01PViTwtzG4c9QZso8sKbh6j,claude-sonnet-4-5-20250929,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,4108,174,,standard,Policy created successfully
"Set up a slice for a shopping mall to improve customer mobile experience, supporting 300 devices with downstream speeds of 80 Mbps per device and a packet delay budget of 25 ms.",type_definition,msg_01DEnitPrf5UNeYjNudtqt5B,claude-sonnet-4-5-20250929,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,302,7,,standard,Policy created successfully
"Deploy a slice for a media production crew using AR headsets, requiring downstream throughput of 300 Mbps per device and latency not exceeding 10 ms.",intent_processing,msg_01Bm1QDwgD23DcHLzAfGLGSX,claude-sonnet-4-5-20250929,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,4889,172,,standard,Policy created successfully
"Deploy a slice for a media production crew using AR headsets, requiring downstream throughput of 300 Mbps per device and latency not exceeding 10 ms.",type_definition,msg_01F7hoyLiKVC2xBwqWkDyUVJ,claude-sonnet-4-5-20250929,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,297,7,,standard,Policy created successfully
"Establish a slice for commuters in a busy train station, optimized for high-capacity browsing with support for 500 devices and downstream rates of 60 Mbps per device.",intent_processing,msg_01Lj3igKAU1pa3ynriMV7QgD,claude-sonnet-4-5-20250929,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,5672,164,,standard,Policy created successfully
"Establish a slice for commuters in a busy train station, optimized for high-capacity browsing with support for 500 devices and downstream rates of 60 Mbps per device.",type_definition,msg_016hXCW27PNAtxZVZjn5Q26U,claude-sonnet-4-5-20250929,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,301,7,,standard,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",intent_processing,msg_01W6kKB9Mtk6PRXj7rMEuEEv,claude-sonnet-4-5-20250929,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,6416,175,,standard,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",type_definition,msg_016fnc3Msce1BnV7EfuG1Gy1,claude-sonnet-4-5-20250929,,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,295,7,,standard,Policy created successfully
"Provision a slice for an outdoor music festival where attendees share video clips, allowing up to 800 devices with uplink rates of 40 Mbps per device.",intent_processing,msg_012KoHcZENYZCgDGNfypnkqc,claude-sonnet-4-5-20250929,create_session,"CacheCreation(ephemeral_1h_input_tokens=0, ephemeral_5m_input_tokens=0)",0,0,7198,163,,standard,Policy created successfully
