intent_id;slice_type;intent
1;eMBB;Create a slice to support video journalists transmitting live footage from a downtown area, allowing up to 40 devices with downstream rates of 120 Mbps per device and a packet delay budget of 15 ms to keep streams smooth.
2;eMBB;Provision a slice for a university campus event where attendees will upload and stream media, targeting uplink rates of 50 Mbps per device and downstream rates of 100 Mbps with latency capped at 20 ms.
3;eMBB;Set up a slice for a shopping mall to improve customer mobile experience, supporting 300 devices with downstream speeds of 80 Mbps per device and a packet delay budget of 25 ms.
4;eMBB;Deploy a slice for a media production crew using AR headsets, requiring downstream throughput of 300 Mbps per device and latency not exceeding 10 ms.
5;eMBB;Establish a slice for commuters in a busy train station, optimized for high-capacity browsing with support for 500 devices and downstream rates of 60 Mbps per device.
6;eMBB;Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.
7;eMBB;Provision a slice for an outdoor music festival where attendees share video clips, allowing up to 800 devices with uplink rates of 40 Mbps per device.
8;eMBB;Design a slice for a business district to support cloud-based applications, targeting 100 Mbps downstream per device and latency around 20 ms.
9;eMBB;Deploy a slice for a convention center hosting tech demos, supporting 200 devices with 200 Mbps downstream rates and packet delay budget of 10 ms.
10;eMBB;Create a slice to enhance mobile broadband along a highway corridor, ensuring downstream speeds of 90 Mbps per device and latency below 30 ms.
11;eMBB;Provision a slice for a public square with heavy social media usage, supporting 600 devices and uplink rates of 35 Mbps per device.
12;eMBB;Establish a slice for corporate offices using cloud desktops, with 120 Mbps downstream per device and packet delay budget of 15 ms.
13;eMBB;Set up a slice for remote training sessions using VR, requiring 500 Mbps downstream per device and latency capped at 8 ms.
14;eMBB;Create a slice for a harbor area supporting logistics staff tablets, allowing 150 devices with downstream rates of 70 Mbps.
15;eMBB;Deploy a slice for tourists in a historical district, optimized for media consumption with 80 Mbps downstream per device and 25 ms latency.
16;eMBB;Provision a slice for a TV broadcast van zone, prioritizing uplink capacity of 200 Mbps per device and packet delay budget of 12 ms.
17;eMBB;Establish a slice for co-working spaces, supporting 250 devices with downstream speeds of 100 Mbps per device.
18;eMBB;Create a slice for a retail analytics platform using video feeds, requiring 150 Mbps downstream and latency below 20 ms.
